--------- beginning of main
09-10 12:06:42.024  3972  3989 I ArchitectureSpikeTest: Staging Qwen fixture (986048768 bytes)
09-10 12:06:46.012  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=46 durationMs=287 sampleMs=0.48 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:46.013  3972  3989 I LlamaBridge: generate completed status=success durationMs=288 responseLength=46
09-10 12:06:46.013  3972  3989 I LlamaTranslationBridge: generate success promptLength=233 translatedLength=46 maxTokens=256 durationMs=288
09-10 12:06:46.013  3972  3989 I LlamaTranslationBridge: generate raw=Indeed, theoretically, it could be possible...
09-10 12:06:46.332  3972  3989 I LlamaJNI: Generation complete tokens=12 resultLength=50 durationMs=319 sampleMs=0.70 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:46.332  3972  3989 I LlamaBridge: generate completed status=success durationMs=319 responseLength=50
09-10 12:06:46.332  3972  3989 I LlamaTranslationBridge: generate success promptLength=220 translatedLength=50 maxTokens=256 durationMs=319
09-10 12:06:46.332  3972  3989 I LlamaTranslationBridge: generate raw=This guy is definitely dumber than a box of rocks.
09-10 12:06:46.575  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=15 durationMs=242 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:46.575  3972  3989 I LlamaBridge: generate completed status=success durationMs=243 responseLength=15
09-10 12:06:46.575  3972  3989 I LlamaTranslationBridge: generate success promptLength=222 translatedLength=15 maxTokens=256 durationMs=243
09-10 12:06:46.575  3972  3989 I LlamaTranslationBridge: generate raw=What the heck!?
09-10 12:06:46.898  3972  3989 I LlamaJNI: Generation complete tokens=8 resultLength=38 durationMs=322 sampleMs=0.52 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:46.898  3972  3989 I LlamaBridge: generate completed status=success durationMs=323 responseLength=38
09-10 12:06:46.898  3972  3989 I LlamaTranslationBridge: generate success promptLength=230 translatedLength=38 maxTokens=256 durationMs=323
09-10 12:06:46.898  3972  3989 I LlamaTranslationBridge: generate raw=Without helium, balloons won't float!!
09-10 12:06:47.227  3972  3989 I LlamaJNI: Generation complete tokens=10 resultLength=38 durationMs=328 sampleMs=0.52 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:47.227  3972  3989 I LlamaBridge: generate completed status=success durationMs=329 responseLength=38
09-10 12:06:47.227  3972  3989 I LlamaTranslationBridge: generate success promptLength=232 translatedLength=38 maxTokens=256 durationMs=329
09-10 12:06:47.227  3972  3989 I LlamaTranslationBridge: generate raw=Do you have the gum to film in space!?
09-10 12:06:47.436  3972  3989 I LlamaJNI: Generation complete tokens=2 resultLength=3 durationMs=208 sampleMs=0.17 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:47.436  3972  3989 I LlamaBridge: generate completed status=success durationMs=209 responseLength=3
09-10 12:06:47.436  3972  3989 I LlamaTranslationBridge: generate success promptLength=213 translatedLength=3 maxTokens=256 durationMs=209
09-10 12:06:47.436  3972  3989 I LlamaTranslationBridge: generate raw=Oh!
09-10 12:06:47.719  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=24 durationMs=282 sampleMs=0.34 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:47.719  3972  3989 I LlamaBridge: generate completed status=success durationMs=283 responseLength=24
09-10 12:06:47.719  3972  3989 I LlamaTranslationBridge: generate success promptLength=220 translatedLength=24 maxTokens=256 durationMs=283
09-10 12:06:47.719  3972  3989 I LlamaTranslationBridge: generate raw=It was supposed to be...
09-10 12:06:47.914  3972  3989 I LlamaJNI: Generation complete tokens=1 resultLength=2 durationMs=194 sampleMs=0.10 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:47.914  3972  3989 I LlamaBridge: generate completed status=success durationMs=195 responseLength=2
09-10 12:06:47.914  3972  3989 I LlamaTranslationBridge: generate success promptLength=213 translatedLength=2 maxTokens=256 durationMs=195
09-10 12:06:47.914  3972  3989 I LlamaTranslationBridge: generate raw=Ah
09-10 12:06:48.203  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=31 durationMs=289 sampleMs=0.35 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:48.204  3972  3989 I LlamaBridge: generate completed status=success durationMs=290 responseLength=31
09-10 12:06:48.204  3972  3989 I LlamaTranslationBridge: generate success promptLength=228 translatedLength=31 maxTokens=256 durationMs=290
09-10 12:06:48.204  3972  3989 I LlamaTranslationBridge: generate raw=Regardless of my own efforts...
09-10 12:06:48.420  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=10 durationMs=217 sampleMs=0.20 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:48.421  3972  3989 I LlamaBridge: generate completed status=success durationMs=217 responseLength=10
09-10 12:06:48.421  3972  3989 I LlamaTranslationBridge: generate success promptLength=220 translatedLength=10 maxTokens=256 durationMs=217
09-10 12:06:48.421  3972  3989 I LlamaTranslationBridge: generate raw=That is...
09-10 12:06:48.424  3972  3989 I ArchitectureSpikeTest: Result engine=qwen_perline case=balloon-dense-dialogue bubbles=16 durationMs=4153 pssKb=2121211 covered=16 sourceEchoes=1
09-10 12:06:48.424  3972  3989 I ArchitectureSpikeTest: RAW engine=qwen_perline case=balloon-dense-dialogue raw=[0] But no matter how many balloons I collect, they won't float!!\n[1] mugigga\n[6] Why, then, are disposable cameras used?\n[12] Earth's photos are all over the internet, right?\n[10] I love you.\n[11] Indeed, theoretically, it could be possible...\n[2] This guy is definitely dumber than a box of rocks.\n[4] What the heck!?\n[5] Without helium, balloons won't float!!\n[9] Do you have the gum to film in space!?\n[7] Oh!\n[8] It was supposed to be...\n[14] Ah\n[13] Regardless of my own efforts...\n[15] That is...
09-10 12:06:48.425  3972  3989 I ArchitectureSpikeTest: RESULT_JSON case=balloon-dense-dialogue engine=qwen_perline json={"engine":"qwen_perline","translations":["But no matter how many balloons I collect, they won't float!!","mugigga","This guy is definitely dumber than a box of rocks.",".......?","What the heck!?","Without helium, balloons won't float!!","Why, then, are disposable cameras used?","Oh!","It was supposed to be...","Do you have the gum to film in space!?","I love you.","Indeed, theoretically, it could be possible...","Earth's photos are all over the internet, right?","Regardless of my own efforts...","Ah","That is..."]}
09-10 12:06:48.663  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=17 durationMs=237 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:48.663  3972  3989 I LlamaBridge: generate completed status=success durationMs=238 responseLength=17
09-10 12:06:48.663  3972  3989 I LlamaTranslationBridge: generate success promptLength=221 translatedLength=17 maxTokens=256 durationMs=238
09-10 12:06:48.663  3972  3989 I LlamaTranslationBridge: generate raw=Dream...? trivial
09-10 12:06:48.909  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=24 durationMs=245 sampleMs=0.30 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:48.909  3972  3989 I LlamaBridge: generate completed status=success durationMs=245 responseLength=24
09-10 12:06:48.909  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=24 maxTokens=256 durationMs=245
09-10 12:06:48.909  3972  3989 I LlamaTranslationBridge: generate raw=Ten years later - Summer
09-10 12:06:49.255  3972  3989 I LlamaJNI: Generation complete tokens=13 resultLength=63 durationMs=347 sampleMs=0.70 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:49.256  3972  3989 I LlamaBridge: generate completed status=success durationMs=347 responseLength=63
09-10 12:06:49.256  3972  3989 I LlamaTranslationBridge: generate success promptLength=229 translatedLength=63 maxTokens=256 durationMs=347
09-10 12:06:49.256  3972  3989 I LlamaTranslationBridge: generate raw=Why would one seek a recommendation from a third-rate big-shot?
09-10 12:06:49.572  3972  3989 I LlamaJNI: Generation complete tokens=10 resultLength=53 durationMs=317 sampleMs=0.68 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:49.573  3972  3989 I LlamaBridge: generate completed status=success durationMs=317 responseLength=53
09-10 12:06:49.573  3972  3989 I LlamaTranslationBridge: generate success promptLength=229 translatedLength=53 maxTokens=256 durationMs=317
09-10 12:06:49.573  3972  3989 I LlamaTranslationBridge: generate raw=Why would one target a third-rate big recommendation?
09-10 12:06:49.811  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=17 durationMs=238 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:49.811  3972  3989 I LlamaBridge: generate completed status=success durationMs=238 responseLength=17
09-10 12:06:49.811  3972  3989 I LlamaTranslationBridge: generate success promptLength=221 translatedLength=17 maxTokens=256 durationMs=238
09-10 12:06:49.811  3972  3989 I LlamaTranslationBridge: generate raw=Dream...? trivial
09-10 12:06:50.069  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=24 durationMs=258 sampleMs=0.28 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:50.070  3972  3989 I LlamaBridge: generate completed status=success durationMs=259 responseLength=24
09-10 12:06:50.070  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=24 maxTokens=256 durationMs=259
09-10 12:06:50.070  3972  3989 I LlamaTranslationBridge: generate raw=Ten years later - Summer
09-10 12:06:50.310  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=24 durationMs=241 sampleMs=0.28 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:50.311  3972  3989 I LlamaBridge: generate completed status=success durationMs=241 responseLength=24
09-10 12:06:50.311  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=24 maxTokens=256 durationMs=241
09-10 12:06:50.311  3972  3989 I LlamaTranslationBridge: generate raw=Ten years later - Summer
09-10 12:06:50.621  3972  3989 I LlamaJNI: Generation complete tokens=10 resultLength=53 durationMs=309 sampleMs=0.67 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:50.621  3972  3989 I LlamaBridge: generate completed status=success durationMs=310 responseLength=53
09-10 12:06:50.621  3972  3989 I LlamaTranslationBridge: generate success promptLength=229 translatedLength=53 maxTokens=256 durationMs=310
09-10 12:06:50.622  3972  3989 I LlamaTranslationBridge: generate raw=Why would one target a third-rate big recommendation?
09-10 12:06:50.854  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=17 durationMs=232 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:50.854  3972  3989 I LlamaBridge: generate completed status=success durationMs=232 responseLength=17
09-10 12:06:50.854  3972  3989 I LlamaTranslationBridge: generate success promptLength=221 translatedLength=17 maxTokens=256 durationMs=232
09-10 12:06:50.854  3972  3989 I LlamaTranslationBridge: generate raw=Dream...? trivial
09-10 12:06:51.110  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=18 durationMs=255 sampleMs=0.29 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:51.110  3972  3989 I LlamaBridge: generate completed status=success durationMs=256 responseLength=18
09-10 12:06:51.110  3972  3989 I LlamaTranslationBridge: generate success promptLength=220 translatedLength=18 maxTokens=256 durationMs=256
09-10 12:06:51.110  3972  3989 I LlamaTranslationBridge: generate raw=Alright, Shinji...
09-10 12:06:51.414  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=36 durationMs=303 sampleMs=0.50 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:51.414  3972  3989 I LlamaBridge: generate completed status=success durationMs=303 responseLength=36
09-10 12:06:51.414  3972  3989 I LlamaTranslationBridge: generate success promptLength=234 translatedLength=36 maxTokens=256 durationMs=303
09-10 12:06:51.414  3972  3989 I LlamaTranslationBridge: generate raw=Choose the path that's fun and safe.
09-10 12:06:51.645  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=17 durationMs=231 sampleMs=0.25 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:51.646  3972  3989 I LlamaBridge: generate completed status=success durationMs=231 responseLength=17
09-10 12:06:51.646  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=17 maxTokens=256 durationMs=231
09-10 12:06:51.646  3972  3989 I LlamaTranslationBridge: generate raw=Are you mistaken?
09-10 12:06:51.872  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=11 durationMs=225 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:51.873  3972  3989 I LlamaBridge: generate completed status=success durationMs=227 responseLength=11
09-10 12:06:51.873  3972  3989 I LlamaTranslationBridge: generate success promptLength=214 translatedLength=11 maxTokens=256 durationMs=227
09-10 12:06:51.873  3972  3989 I LlamaTranslationBridge: generate raw=Sakurai Ken
09-10 12:06:52.198  3972  3989 I LlamaJNI: Generation complete tokens=12 resultLength=58 durationMs=326 sampleMs=0.62 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:52.198  3972  3989 I LlamaBridge: generate completed status=success durationMs=325 responseLength=58
09-10 12:06:52.199  3972  3989 I LlamaTranslationBridge: generate success promptLength=229 translatedLength=58 maxTokens=256 durationMs=325
09-10 12:06:52.199  3972  3989 I LlamaTranslationBridge: generate raw=You have the academic prowess to aim for a top university.
09-10 12:06:52.410  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=16 durationMs=211 sampleMs=0.18 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:52.410  3972  3989 I LlamaBridge: generate completed status=success durationMs=211 responseLength=16
09-10 12:06:52.410  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=16 maxTokens=256 durationMs=211
09-10 12:06:52.410  3972  3989 I LlamaTranslationBridge: generate raw=Really no dreams
09-10 12:06:52.719  3972  3989 I LlamaJNI: Generation complete tokens=10 resultLength=41 durationMs=308 sampleMs=0.54 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:52.719  3972  3989 I LlamaBridge: generate completed status=success durationMs=309 responseLength=41
09-10 12:06:52.720  3972  3989 I LlamaTranslationBridge: generate success promptLength=227 translatedLength=41 maxTokens=256 durationMs=309
09-10 12:06:52.720  3972  3989 I LlamaTranslationBridge: generate raw=You wouldn't be a cute student like that.
09-10 12:06:52.979  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=32 durationMs=259 sampleMs=0.34 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:52.979  3972  3989 I LlamaBridge: generate completed status=success durationMs=259 responseLength=32
09-10 12:06:52.979  3972  3989 I LlamaTranslationBridge: generate success promptLength=222 translatedLength=32 maxTokens=256 durationMs=259
09-10 12:06:52.979  3972  3989 I LlamaTranslationBridge: generate raw=Various things to ask for easily
09-10 12:06:53.298  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=17 durationMs=318 sampleMs=0.29 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:53.298  3972  3989 I LlamaBridge: generate completed status=success durationMs=319 responseLength=17
09-10 12:06:53.298  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=17 maxTokens=256 durationMs=319
09-10 12:06:53.298  3972  3989 I LlamaTranslationBridge: generate raw=There's no dream.
09-10 12:06:53.613  3972  3989 I LlamaJNI: Generation complete tokens=11 resultLength=47 durationMs=315 sampleMs=0.56 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:53.614  3972  3989 I LlamaBridge: generate completed status=success durationMs=315 responseLength=47
09-10 12:06:53.614  3972  3989 I LlamaTranslationBridge: generate success promptLength=227 translatedLength=47 maxTokens=256 durationMs=315
09-10 12:06:53.614  3972  3989 I LlamaTranslationBridge: generate raw=You wouldn't be cut out for such cute students.
09-10 12:06:53.944  3972  3989 I LlamaJNI: Generation complete tokens=12 resultLength=58 durationMs=330 sampleMs=0.64 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:53.944  3972  3989 I LlamaBridge: generate completed status=success durationMs=330 responseLength=58
09-10 12:06:53.944  3972  3989 I LlamaTranslationBridge: generate success promptLength=229 translatedLength=58 maxTokens=256 durationMs=330
09-10 12:06:53.944  3972  3989 I LlamaTranslationBridge: generate raw=You have the academic prowess to aim for a top university.
09-10 12:06:54.218  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=32 durationMs=274 sampleMs=0.35 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:54.218  3972  3989 I LlamaBridge: generate completed status=success durationMs=274 responseLength=32
09-10 12:06:54.218  3972  3989 I LlamaTranslationBridge: generate success promptLength=222 translatedLength=32 maxTokens=256 durationMs=274
09-10 12:06:54.218  3972  3989 I LlamaTranslationBridge: generate raw=Various things to ask for easily
09-10 12:06:54.550  3972  3989 I LlamaJNI: Generation complete tokens=12 resultLength=58 durationMs=331 sampleMs=0.63 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:54.550  3972  3989 I LlamaBridge: generate completed status=success durationMs=331 responseLength=58
09-10 12:06:54.550  3972  3989 I LlamaTranslationBridge: generate success promptLength=229 translatedLength=58 maxTokens=256 durationMs=331
09-10 12:06:54.550  3972  3989 I LlamaTranslationBridge: generate raw=You have the academic prowess to aim for a top university.
09-10 12:06:54.788  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=17 durationMs=238 sampleMs=0.30 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:54.789  3972  3989 I LlamaBridge: generate completed status=success durationMs=239 responseLength=17
09-10 12:06:54.789  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=17 maxTokens=256 durationMs=239
09-10 12:06:54.789  3972  3989 I LlamaTranslationBridge: generate raw=There's no dream.
09-10 12:06:55.132  3972  3989 I LlamaJNI: Generation complete tokens=13 resultLength=51 durationMs=343 sampleMs=0.70 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:55.132  3972  3989 I LlamaBridge: generate completed status=success durationMs=343 responseLength=51
09-10 12:06:55.132  3972  3989 I LlamaTranslationBridge: generate success promptLength=227 translatedLength=51 maxTokens=256 durationMs=343
09-10 12:06:55.132  3972  3989 I LlamaTranslationBridge: generate raw=You're not cut out for such cute students, are you?
09-10 12:06:55.391  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=32 durationMs=259 sampleMs=0.29 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:55.392  3972  3989 I LlamaBridge: generate completed status=success durationMs=260 responseLength=32
09-10 12:06:55.392  3972  3989 I LlamaTranslationBridge: generate success promptLength=222 translatedLength=32 maxTokens=256 durationMs=260
09-10 12:06:55.392  3972  3989 I LlamaTranslationBridge: generate raw=Various things to request easily
09-10 12:06:55.395  3972  3989 I ArchitectureSpikeTest: Result engine=qwen_perline case=balloon-mixed-dialogue bubbles=12 durationMs=6959 pssKb=2121003 covered=12 sourceEchoes=1
09-10 12:06:55.395  3972  3989 I ArchitectureSpikeTest: RAW engine=qwen_perline case=balloon-mixed-dialogue raw=[5] Dream...? trivial\n[0] Ten years later - Summer\n[3] Why would one seek a recommendation from a third-rate big-shot?\n[3] Why would one target a third-rate big recommendation?\n[5] Dream...? trivial\n[0] Ten years later - Summer\n[0] Ten years later - Summer\n[3] Why would one target a third-rate big recommendation?\n[5] Dream...? trivial\n[8] Alright, Shinji...\n[6] Choose the path that's fun and safe.\n[7] Are you mistaken?\n[1] Sakurai Ken\n[2] You have the academic prowess to aim for a top university.\n[4] Really no dreams\n[9] You wouldn't be a cute student like that.\n[10] Various things to ask for easily\n[4] There's no dream.\n[9] You wouldn't be cut out for such cute students.\n[2] You have the academic prowess to aim for a top university.\n[10] Various things to ask for easily\n[2] You have the academic prowess to aim for a top university.\n[4] There's no dream.\n[9] You're not cut out for such cute students, are you?\n[10] Various things to request easily
09-10 12:06:55.395  3972  3989 I ArchitectureSpikeTest: RESULT_JSON case=balloon-mixed-dialogue engine=qwen_perline json={"engine":"qwen_perline","translations":["Ten years later - Summer","Sakurai Ken","You have the academic prowess to aim for a top university.","Why would one target a third-rate big recommendation?","There's no dream.","Dream...? trivial","Choose the path that's fun and safe.","Are you mistaken?","Alright, Shinji...","You're not cut out for such cute students, are you?","Various things to request easily","?"]}
09-10 12:06:55.695  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=28 durationMs=299 sampleMs=0.49 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:55.695  3972  3989 I LlamaBridge: generate completed status=success durationMs=300 responseLength=28
09-10 12:06:55.695  3972  3989 I LlamaTranslationBridge: generate success promptLength=225 translatedLength=28 maxTokens=256 durationMs=300
09-10 12:06:55.695  3972  3989 I LlamaTranslationBridge: generate raw=Oh no, I can't believe it...
09-10 12:06:55.915  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=8 durationMs=220 sampleMs=0.20 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:55.916  3972  3989 I LlamaBridge: generate completed status=success durationMs=221 responseLength=8
09-10 12:06:55.916  3972  3989 I LlamaTranslationBridge: generate success promptLength=220 translatedLength=8 maxTokens=256 durationMs=221
09-10 12:06:55.916  3972  3989 I LlamaTranslationBridge: generate raw=I too...
09-10 12:06:56.217  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=43 durationMs=301 sampleMs=0.49 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:56.217  3972  3989 I LlamaBridge: generate completed status=success durationMs=301 responseLength=43
09-10 12:06:56.217  3972  3989 I LlamaTranslationBridge: generate success promptLength=228 translatedLength=43 maxTokens=256 durationMs=301
09-10 12:06:56.217  3972  3989 I LlamaTranslationBridge: generate raw=That means the one carrying the keychain is
09-10 12:06:56.525  3972  3989 I LlamaJNI: Generation complete tokens=10 resultLength=32 durationMs=307 sampleMs=0.55 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:56.525  3972  3989 I LlamaBridge: generate completed status=success durationMs=308 responseLength=32
09-10 12:06:56.525  3972  3989 I LlamaTranslationBridge: generate success promptLength=220 translatedLength=32 maxTokens=256 durationMs=308
09-10 12:06:56.525  3972  3989 I LlamaTranslationBridge: generate raw=You've seen it too, haven't you?
09-10 12:06:56.731  3972  3989 I LlamaJNI: Generation complete tokens=2 resultLength=9 durationMs=207 sampleMs=0.15 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:56.731  3972  3989 I LlamaBridge: generate completed status=success durationMs=206 responseLength=9
09-10 12:06:56.731  3972  3989 I LlamaTranslationBridge: generate success promptLength=214 translatedLength=9 maxTokens=256 durationMs=206
09-10 12:06:56.731  3972  3989 I LlamaTranslationBridge: generate raw=Hey there
09-10 12:06:56.924  3972  3989 I LlamaJNI: Generation complete tokens=1 resultLength=3 durationMs=192 sampleMs=0.10 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:56.924  3972  3989 I LlamaBridge: generate completed status=success durationMs=193 responseLength=3
09-10 12:06:56.924  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=3 maxTokens=256 durationMs=193
09-10 12:06:56.924  3972  3989 I LlamaTranslationBridge: generate raw=one
09-10 12:06:57.229  3972  3989 I LlamaJNI: Generation complete tokens=8 resultLength=25 durationMs=306 sampleMs=0.46 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:57.229  3972  3989 I LlamaBridge: generate completed status=success durationMs=305 responseLength=25
09-10 12:06:57.229  3972  3989 I LlamaTranslationBridge: generate success promptLength=224 translatedLength=25 maxTokens=256 durationMs=305
09-10 12:06:57.229  3972  3989 I LlamaTranslationBridge: generate raw=The moment "asagao" falls
09-10 12:06:57.599  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=34 durationMs=370 sampleMs=0.50 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:57.599  3972  3989 I LlamaBridge: generate completed status=success durationMs=370 responseLength=34
09-10 12:06:57.599  3972  3989 I LlamaTranslationBridge: generate success promptLength=229 translatedLength=34 maxTokens=256 durationMs=370
09-10 12:06:57.599  3972  3989 I LlamaTranslationBridge: generate raw=Ready to go, hurry up and prepare!
09-10 12:06:57.851  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=22 durationMs=251 sampleMs=0.36 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:57.851  3972  3989 I LlamaBridge: generate completed status=success durationMs=252 responseLength=22
09-10 12:06:57.851  3972  3989 I LlamaTranslationBridge: generate success promptLength=220 translatedLength=22 maxTokens=256 durationMs=252
09-10 12:06:57.851  3972  3989 I LlamaTranslationBridge: generate raw=It's a precious thing.
09-10 12:06:58.066  3972  3989 I LlamaJNI: Generation complete tokens=2 resultLength=7 durationMs=215 sampleMs=0.15 grammarMs=0.00 grammarRejections=0 grammar=0
